Name,Grade,Cut-Off,Branches-Allowed,Details
KPMG_ERP,A+,50,COE; ECE; IT,123Further Shortlisting Possible
KPMG_ERP_MPAICEBT,A+,50,ICE; MPA; BT,123Further shortlisting possible
KPMG_ITA_MPAICEBT,A+,50,ICE; MPA; BT,123Further shortlisting possible
Nogle,A++,50,COE; ECE; ICE; IT,123Further shortlisting possible
Pocket Gems,Dream,0,COE; IT,9999
Lohia Starlinger,A+,60,MPA,1Further Shortlisting Possible
JP Morgan,A++,0,COE; ECE; ICE; MPA; IT; BT,123Further Shortlisting Possible
PT India_GS,A++,0,COE; ECE; ICE; MPA; IT; BT; M.Tech(SP); M.Tech(IS); M.Tech(PC),123Further Shortlisting Possible
ShopClue,A++,50,COE; ECE; ICE; MPA; IT; BT; M.Tech(SP); M.Tech(IS); M.Tech(PC),123Further Shortlisting Possible
,A++,0,,
Pocket Gems Re-registrations,Dream,0,COE; IT,9999
Century Link,A++,0,COE; ECE; ICE; MPA; IT,123Further Shortlisting Possible
Samsung SDS,A+,50,COE; ECE; IT,2Further Shortlisting Possible
PolicyBazaar,A++,50,COE; ECE; ICE; IT,123Further Shortlisting Possible
Stryker,A++,0,COE; ECE; ICE; MPA; IT,9999
Magic Software,A,53,COE; IT; M.Tech(IS),123
SIS Prosegur,A++,0,COE; ECE; ICE; MPA; IT; BT; M.Tech(SP); M.Tech(IS); M.Tech(PC),123Further Shortlisting Possible
Samsung Research,Dream,60,COE; ECE; IT,1(only students with package of 6 LPA or below can apply)- further shortlisting possible
Samsung Heavy Industries,A+,60,ECE; ICE,0(resume/percentage based shortlisting)
Agnity,A++,60,COE; ECE; IT,0Further Shortlisting possible
Concept2Silicon,A++,60,ECE; ICE,0
Markit India,A++,60,COE; ECE; ICE; MPA; IT; M.Tech(SP); M.Tech(IS); M.Tech(PC),0Further Shorlisting Possible
Vedanta,A+,60,ECE; ICE; MPA,0
